,hid,hh_adults,hh_adolescents,hh_child,hh_youngchild,hhcount,hh_hhhjobstatus,hh_hhhjob,hh_hhhage,hh_hhheducation,hh_hhhsleep,hh_numberincome,hh_income,hh_hhnumber,hh_primary,hh_foodmonth,hh_food2weeks,hh_povertystep,hh_rooms,hh_floor,hh_toiletaway,hh_bathwater,hh_lights,hh_food1,hh_food2,hh_food3,hh_food4,hh_food6,hh_food7,hh_food8,hh_food9,hh_food10,hh_marketveg,hh_marketfruit,hh_manureanimal,hh_eating1,hh_hsbill,hh_hsbdiarrh,hh_hsbfever,hh_hsbcough,hh_hsbseverill,hh_andrugadvice,hh_anvac,hh_anabx,new_hhid,geometry
10,HH2252C,1,1,0,0,2,Paid employee ,Domestic service ,71.38398357289527,None ,Cloth / Sack on floor  ,1,40000,One (respondents) ,1,Never,Never,1,2,Tile,Borrow a toilet close by ,Tube well with powered pump ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,Never ,Never ,Never ,Never ,Ngumbe market,,Nothing ,Self-feeding with hands ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals and prevent them from becoming sick ,10,POINT (3896138.045152485 -1769933.640709203)
11,HH2420C,2,3,1,0,6,Self employed ,Skilled manual ,63.252566735112936,PSLC ,Bed and Matress ,2,30000,One (respondents) ,3,Never,Never,2,4,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,About once a week ,Less than once a week ,Daily,Less than once a week ,Less than once a week ,Never ,Several times a week ,Chirimba market,Chirimba market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Farmers or other households ,Prevent animals from becoming sick ,Cure sick animals ,11,POINT (3896714.596618476 -1767783.448645018)
12,HH2332C,4,2,0,0,6,Paid employee ,Clerical Technical / managerial ,42.74880219028063,MSCE ,Bed and Matress ,3,350000,One (respondents) ,1,Sometimes,Never,3,5,Cement,Borrow a toilet close by ,Public tap / Standpipe ,"Yes, electric lights ",Less than once a week ,About once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Daily,Daily,About once a week ,Mobile women selling vegetables,Kameza roundabout,Nothing ,Self-feeding with spoon ,Other hospital (private) ,Private pharmacy / drug store ,Health centre (gov) ,Other hospital (private) ,Other hospital (private) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,12,POINT (3895347.721295655 -1768977.130572537)
13,HH290LC,2,2,1,1,6,Paid employee ,Unskilled manual ,40,JCE  ,Bed & Matress (GRASS)  ,1,50000,Two ,1,Never,Never,1,2,Cement,Borrow a toilet close by ,Piped outside dwelling ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Never ,Several times a week ,Less than once a week ,Never ,Several times a week ,,Lunzu  market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,13,POINT (3898090.436380137 -1772025.896379675)
14,HH257NC,3,3,1,0,7,Self employed ,Sales and service ,49.686516084873375,PSLC ,Bed and Matress ,1,30000,One (respondents) ,2,Never,Never,3,5,Cement,Use public toilet ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,14,POINT (3897332.07470875 -1771850.796036778)
15,HH2316C,4,2,0,1,7,Unemployed ,,48.6652977412731,PSLC ,Mattress on floor  ,1,20000,Two ,1,Sometimes,Never,2,3,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Never ,About once a week ,Never ,Daily,Ngumbe market,Ngumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,15,POINT (3896888.322119297 -1767966.279752651)
16,HH249NC,6,1,1,0,8,Self employed ,Sales and service ,55.893223819301845,JCE  ,Bed and Matress ,2,150000,One (respondents) ,1,Never,Never,4,6,Cement,Wait till I get home ,Piped into dwelling ,"Yes, electric lights ",Several times a week ,Never ,Less than once a week ,About once a week ,Less than once a week ,Several times a week ,Several times a week ,Less than once a week ,Never ,Chatha market,Chatha market,Sweep it into the bush ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,16,POINT (3895721.363614899 -1768090.544528843)
17,HH238TC,3,2,1,0,6,Paid employee ,Skilled manual ,29.451060917180012,MSCE ,Bed and Matress ,2,60000,Two ,0,Never,Never,2,3,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, electric lights ",Several times a week ,Never ,Several times a week ,Less than once a week ,Daily,Never ,Several times a week ,Less than once a week ,Daily,Ngumbe market,Ngumbe market,Put it in the refuse pit ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,17,POINT (3895298.205335429 -1768069.304787726)
18,HH2332C,4,2,0,0,6,Paid employee ,Clerical Technical / managerial ,42.74880219028063,MSCE ,Bed and Matress ,3,350000,One (respondents) ,1,Sometimes,Never,3,5,Cement,Borrow a toilet close by ,Public tap / Standpipe ,"Yes, electric lights ",Less than once a week ,About once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Daily,Daily,About once a week ,Mobile women selling vegetables,Kameza roundabout,Nothing ,Self-feeding with spoon ,Other hospital (private) ,Private pharmacy / drug store ,Health centre (gov) ,Other hospital (private) ,Other hospital (private) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,18,POINT (3897692.861178412 -1772073.293503667)
19,HH267JC,2,0,1,0,3,Self employed ,Sales and service ,45.987679671457904,MSCE ,Bed and Matress ,1,120000,One (respondents) ,0,Never,Never,3,5,Cement,Wait till I get home ,Piped outside dwelling ,"Yes, electric lights ",Several times a week ,Never ,About once a week ,About once a week ,About once a week ,Never ,About once a week ,About once a week ,Several times a week ,Lunzu market,Lunzu market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,19,POINT (3895325.85577415 -1771075.732477077)
20,HH253VC,2,2,1,1,6,Paid employee ,Clerical Technical / managerial ,47.51266255989049,PSLC ,Mattress (GRASS) on floor  ,1,30000,Two ,3,Often,Often,1,3,Sand/soil,Borrow a toilet close by ,"Surface water from river, lake or pond ",No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,About once a week ,Never ,Less than once a week ,Ngumbe market,Ngumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Fattening / increased growth ,20,POINT (3896637.763912584 -1772623.411328765)
21,HH264PC,2,2,1,0,5,Paid employee ,Clerical Technical / managerial ,40,PSLC ,Bed alone  ,1,30000,Three ,2,Sometimes,Sometimes,1,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Never ,Less than once a week ,Never ,Less than once a week ,Never ,Several times a week ,Ngumbe market,Ngumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,21,POINT (3897304.828371029 -1771303.191509582)
22,HH213AC,3,3,0,0,6,Paid employee ,Clerical Technical / managerial ,41.75496235455168,MSCE ,Bed and Matress ,2,150000,One (respondents) ,2,Never,Never,4,5,Cement,Wait till I get home ,Piped outside dwelling ,"Yes, electric lights ",Several times a week ,Never ,Several times a week ,Several times a week ,Daily,Never ,Daily,Never ,Never ,Pa 10 miles market,Pa 10 MILES Market,Sweep it into the bush ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,22,POINT (3897395.210760286 -1769336.090313151)
23,HH227ZC,2,3,0,0,5,Paid domestic worker ,Unskilled manual ,51,PSLC ,Bed and Matress ,2,50000,One (respondents) ,1,Never,Never,1,5,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Ngumbe market,Ngumbe market,Sweep it into the bush ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,23,POINT (3896733.471782124 -1770526.98990238)
24,HH265NC,4,2,0,0,6,Other,Clerical Technical / managerial ,63.39219712525667,University Diploma/Degree  ,Bed and Matress ,3,100000,One (respondents) ,2,Never,Never,2,6,Cement,Borrow a toilet close by ,Piped into dwelling ,"Yes, electric lights ",About once a week ,Never ,About once a week ,Less than once a week ,Daily,Less than once a week ,About once a week ,Less than once a week ,Less than once a week ,Chatha market,Chatha market,Use it as manure ,Hand feeding (mother) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,Private pharmacy / drug store ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,24,POINT (3898364.696569069 -1771338.724482626)
25,HH205AC,5,0,1,0,6,Self employed ,Sales and service ,34.652977412731005,Postgraduate Degree ,Bed and Matress ,2,120000,One (respondents) ,0,Never,Never,3,6,Cement,Use public toilet ,Piped outside dwelling ,"Yes, electric lights ",Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Daily,Never ,Several times a week ,Several times a week ,Less than once a week ,Lunzu market,Lunzu market,Sweep it into the bush ,Hand feeding (mother) ,CHAM facility ,CHAM facility ,CHAM facility ,CHAM facility ,CHAM facility ,The vets ,Cure sick animals ,Prevent animals from becoming sick ,25,POINT (3897215.927686181 -1767608.417531813)
26,HH283JC,3,2,0,2,7,Paid employee ,Unskilled manual ,53.44832306639288,JCE  ,Bed and Matress ,1,70000,Four ,2,Sometimes,Sometimes,3,4,Cement,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Never ,Several times a week ,Lunzu market,Lunzu market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,26,POINT (3897488.900653748 -1768328.252339394)
27,HH2500C,2,1,1,0,4,Unemployed ,,27.852156057494867,JCE  ,Bed & Matress (GRASS)  ,1,30000,More than 5,1,Sometimes,Sometimes,2,4,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,No,About once a week ,Never ,About once a week ,Less than once a week ,Several times a week ,Several times a week ,Several times a week ,Never ,About once a week ,10 miles market,10 miles market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,27,POINT (3897336.30742709 -1767816.923609957)
28,HH205AC,5,0,1,0,6,Self employed ,Sales and service ,34.652977412731005,Postgraduate Degree ,Bed and Matress ,2,120000,One (respondents) ,0,Never,Never,3,6,Cement,Use public toilet ,Piped outside dwelling ,"Yes, electric lights ",Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Daily,Never ,Several times a week ,Several times a week ,Less than once a week ,Lunzu market,Lunzu market,Sweep it into the bush ,Hand feeding (mother) ,CHAM facility ,CHAM facility ,CHAM facility ,CHAM facility ,CHAM facility ,The vets ,Cure sick animals ,Prevent animals from becoming sick ,28,POINT (3897631.688249536 -1771850.039830067)
29,HH245VC,2,0,2,0,4,Self employed ,Sales and service ,42.362765229295,PSLC ,Mattress on floor  ,2,20000,More than 5,0,Sometimes,Sometimes,1,3,Sand/soil,Use public toilet ,"Surface water from river, lake or pond ",No,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Several times a week ,Chirimba market,Chirimba market,Nothing ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,29,POINT (3898212.394807795 -1772335.765738087)
30,HH300CC,2,2,0,0,4,Paid employee ,Skilled manual ,59.70704996577687,PSLC ,Bed and Matress ,0,50000,One (respondents) ,1,Never,Never,2,5,Cement,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Several times a week ,Less than once a week ,Never ,Several times a week ,Lunzu,Lunzu,Sweep it into the bush ,Self-feeding with hands ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Referral Hospital (QECH) ,My own judgement? ,Unsure,Unsure,30,POINT (3896257.335118785 -1770677.197155733)
31,HH279BC,2,0,1,0,3,Self employed ,Sales and service ,34.60917180013689,University Diploma/Degree  ,Bed and Matress ,0,270000,Three ,0,Never,Never,6,10,Cement,Wait till I get home ,Piped outside dwelling ,"Yes, electric lights ",Several times a week ,Never ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Several times a week ,Never ,Gumbe,Ngumbe,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (private) ,Other hospital (private) ,Other hospital (private) ,Other hospital (private) ,Other hospital (private) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,31,POINT (3896034.022654224 -1770290.412358545)
32,HH236XC,2,2,0,0,4,Self employed ,Sales and service ,40.328542094455855,PSLC ,Mattress (GRASS) on floor  ,1,40000,One (respondents) ,2,Sometimes,Sometimes,1,4,Cement,Borrow a toilet close by ,"Surface water from river, lake or pond ",No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Daily,Less than once a week ,Less than once a week ,Never ,About once a week ,Mobile women,Ngumbe market,Use it as manure ,Self-feeding with spoon ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Prevent animals from becoming sick ,32,POINT (3896921.929176794 -1769824.084271475)
33,HH261VC,3,0,0,0,3,Paid domestic worker ,Other,39.75633127994524,None ,Bed and Matress ,1,20000,One (respondents) ,0,Often,Often,1,3,Cement,Use public toilet ,Tube well / borehole ,No,About once a week ,Never ,About once a week ,Never ,Daily,Never ,About once a week ,Never ,Several times a week ,Lunzu market,Lunzu,Sweep it into the bush ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Referral Hospital (QECH) ,Others (specify),Prevent animals from becoming sick ,Cure sick animals ,33,POINT (3897631.547797794 -1771256.386907725)
34,HH257NC,3,3,1,0,7,Self employed ,Sales and service ,49.686516084873375,PSLC ,Bed and Matress ,1,30000,One (respondents) ,2,Never,Never,3,5,Cement,Use public toilet ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Ngumbe market,Ngumbe market,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,34,POINT (3894173.322931623 -1768242.785230361)
35,HH290LC,2,2,1,1,6,Paid employee ,Unskilled manual ,40,JCE  ,Bed & Matress (GRASS)  ,1,50000,Two ,1,Never,Never,1,2,Cement,Borrow a toilet close by ,Piped outside dwelling ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Never ,Several times a week ,Less than once a week ,Never ,Several times a week ,,Lunzu  market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,35,POINT (3897197.467180339 -1770976.461484526)
36,HH2260C,4,0,0,0,4,Other,Clerical Technical / managerial ,67.95071868583162,JCE  ,Bed and Matress ,1,40000,One (respondents) ,0,Never,Never,4,5,Cement,Use public toilet ,Piped into dwelling ,"Yes, electric lights ",About once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,Never ,Wind mill market,Wind mill market,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Health centre (gov) ,Private pharmacy / drug store ,Private pharmacy / drug store ,Other hospital (gov) ,The vets ,Cure sick animals and prevent them from becoming sick ,Cure sick animals and prevent them from becoming sick ,36,POINT (3897339.376110169 -1771217.69874542)
37,HH275JC,2,0,0,0,2,Unemployed ,,58.55715263518138,JCE  ,Bed and Matress ,0,50000,One (respondents) ,0,Never,Never,3,8,Cement,Wait till I get home ,Tube well / borehole ,No,About once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Several times a week ,Never ,Several times a week ,Chirimba,Chirimba,Use it as manure ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,37,POINT (3896586.278648102 -1770098.129535425)
38,HH2156C,2,0,0,0,2,Self employed ,Sales and service ,37.659137577002056,JCE  ,Bed and Matress ,2,50000,Two ,0,Never,Never,2,7,Cement,Use public toilet ,Piped outside dwelling ,"Yes, electric lights ",About once a week ,About once a week ,About once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,,Chirimba market,Nothing ,Self-feeding with hands ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Prevent animals from becoming sick ,Cure sick animals ,38,POINT (3896884.275358983 -1767996.875418031)
39,HH291JC,2,0,0,0,2,Self employed ,Unskilled manual ,63.03353867214237,University Diploma/Degree  ,Bed and Matress ,2,150000,One (respondents) ,0,Never,Never,4,4,Cement,Borrow a toilet close by ,Piped into dwelling ,"Yes, electric lights ",Several times a week ,About once a week ,Several times a week ,Less than once a week ,Several times a week ,Several times a week ,About once a week ,Less than once a week ,Less than once a week ,"Ngumbe ,chatha market",Ngumbe market,Use it as manure ,Hand feeding (mother) ,Other hospital (private) ,Health centre (private) ,Health centre (private) ,Health centre (private) ,Other hospital (private) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,39,POINT (3895771.533498368 -1770024.695759431)
40,HH211EC,2,0,0,0,2,Self employed ,Skilled manual ,74.21218343600273,PSLC ,Bed and Matress ,1,5000,Two ,0,Often,Often,1,4,Cement,Wait till I get home ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Several times a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Ngumbe market,Ngumbe market,Sweep it into the bush ,Hand feeding (other caregiver) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Cure sick animals ,Cure sick animals ,40,POINT (3896929.083746709 -1769724.548526296)
41,HH272PC,2,2,1,0,5,Self employed ,Skilled manual ,44.446269678302535,PSLC ,Bed and Matress ,1,80000,One (respondents) ,1,Never,Never,2,4,Sand/soil,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Several times a week ,Less than once a week ,Several times a week ,Nkhumbe market,Nkhumbe market,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,My own judgement? ,Unsure,Unsure,41,POINT (3897849.93674591 -1771532.432102942)
42,HH237VC,3,2,0,1,6,Paid employee ,Skilled manual ,43.42505133470226,PSLC ,Bed and Matress ,2,45000,More than 5,2,Never,Never,2,3,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, electric lights ",Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Daily,Less than once a week ,Less than once a week ,Never ,Daily,Mobile women,Pa 10 miles,Nothing ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,The vets ,Unsure,Unsure,42,POINT (3897683.87212941 -1771421.991293232)
