,hid,hh_adults,hh_adolescents,hh_child,hh_youngchild,hhcount,hh_hhhjobstatus,hh_hhhjob,hh_hhhage,hh_hhheducation,hh_hhhsleep,hh_numberincome,hh_income,hh_hhnumber,hh_primary,hh_foodmonth,hh_food2weeks,hh_povertystep,hh_rooms,hh_floor,hh_toiletaway,hh_bathwater,hh_lights,hh_food1,hh_food2,hh_food3,hh_food4,hh_food6,hh_food7,hh_food8,hh_food9,hh_food10,hh_marketveg,hh_marketfruit,hh_manureanimal,hh_eating1,hh_hsbill,hh_hsbdiarrh,hh_hsbfever,hh_hsbcough,hh_hsbseverill,hh_andrugadvice,hh_anvac,hh_anabx,new_hhid,geometry
10,HH501VK,1,1,1,0,3,Self employed ,Unskilled manual ,26.581793292265573,PSLC ,Mattress (GRASS) on floor  ,1,20000,One (respondents) ,1,Sometimes,Sometimes,1,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Dyeratu,Dyeratu,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Cure sick animals ,Cure sick animals ,10,POINT (3869444.008833672 -1801462.381587101)
11,HH4489K,3,1,0,0,4,Unemployed ,,45.385352498288846,PSLC ,Cloth / Sack on floor  ,0,5000,Four ,1,Sometimes,Sometimes,2,3,Cement,Urinate/defaecate in the open ,Tube well / borehole ,"Yes, gas powered lights ",Less than once a week ,Less than once a week ,Never ,Never ,Several times a week ,Never ,About once a week ,Never ,Less than once a week ,Dyeratu,Dyeratu,Nothing ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,11,POINT (3872439.767525051 -1805888.668548099)
12,HH479WK,1,0,1,0,2,Unemployed ,,34.3025325119781,None ,Bed and Matress ,1,30000,One (respondents) ,0,Sometimes,Never,2,3,Cement,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Several times a week ,Less than once a week ,Several times a week ,,Dyeratu,Nothing ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Health centre (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Cure sick animals ,Cure sick animals ,12,POINT (3869148.70696729 -1798284.915661813)
13,HH460HK,2,0,1,1,4,Unemployed ,,45.51129363449692,None ,Bed and Matress ,0,30000,Three ,0,Sometimes,Sometimes,3,3,Cement,Borrow a toilet close by ,Public tap / Standpipe ,"Yes, gas powered lights ",Less than once a week ,About once a week ,Less than once a week ,Several times a week ,Less than once a week ,Several times a week ,About once a week ,Never ,Less than once a week ,BOMA MARKET,BOMA  MARKET,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Unsure,13,POINT (3869414.415459864 -1801634.158906099)
14,HH4577K,2,3,1,0,6,Unemployed ,,32.70636550308008,PSLC ,Cloth / Sack on floor  ,0,3000,Four ,3,Often,Sometimes,1,2,Sand/soil,Use public toilet ,Piped outside dwelling ,"Yes, gas powered lights ",Never ,Less than once a week ,About once a week ,Never ,Several times a week ,Never ,Less than once a week ,Never ,Less than once a week ,Chikwawa,Chikwawa,Nothing ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,14,POINT (3870820.926094089 -1810962.357307377)
15,HH440PK,2,0,1,0,3,Unemployed ,,30.68583162217659,PSLC ,Bed alone  ,0,10000,Three ,0,Sometimes,Never,2,3,Cement,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",Never ,Never ,Less than once a week ,Less than once a week ,About once a week ,Never ,Less than once a week ,About once a week ,About once a week ,Dyeratu,Dyeratu,Sweep it into the bush ,Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,15,POINT (3868345.592500962 -1797322.742508224)
16,HH4729K,2,2,0,0,4,Self employed ,Unskilled manual ,35.44421629021218,None ,Mattress on floor  ,2,50000,One (respondents) ,1,Sometimes,Never,2,5,Sand/soil,Use public toilet ,Tube well / borehole ,No,Never ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,About once a week ,Dyeratu,Dyeratu,Nothing ,Hand feeding (other caregiver) ,Other hospital (gov) ,Health centre (gov) ,Health centre (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,16,POINT (3871578.421833089 -1803306.507058031)
17,HH432PK,3,0,0,0,3,Unemployed ,,65.99863107460644,None ,Bed and Matress ,2,20000,Three ,1,Sometimes,Sometimes,2,4,Cement,Borrow a toilet close by ,Piped outside dwelling ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,About once a week ,Several times a week ,Never ,Several times a week ,Never ,Less than once a week ,CHIKWAWA  BOMA,CHIKWAWA BOMA,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,17,POINT (3871545.192965087 -1803177.693144381)
18,HH415RK,1,0,0,1,2,Self employed ,Sales and service ,29.697467488021903,JCE  ,Bed and Matress ,1,40000,Three ,0,Sometimes,Sometimes,3,3,Cement,Borrow a toilet close by ,Piped outside dwelling ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Never ,Never ,Never ,Never ,Less than once a week ,,,Sweep it into the bush ,Self-feeding with hands ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Unsure,18,POINT (3869876.513798096 -1800175.619305104)
19,HH469XK,2,2,0,0,4,Unemployed ,,60.4435318275154,PSLC ,Cloth / Sack on floor  ,1,15000,One (respondents) ,2,Sometimes,Often,1,3,Sand/soil,Urinate/defaecate in the open ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Never ,Several times a week ,Less than once a week ,Less than once a week ,About once a week ,,Dyeratu,Nothing ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Referral Hospital (QECH) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,19,POINT (3867341.613145446 -1811863.110940008)
20,HH478YK,2,2,0,0,4,Unemployed ,,32.11772758384668,PSLC ,Mattress (GRASS) on floor  ,1,3000,More than 5,2,Often,Sometimes,4,3,Sand/soil,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Mobile market,people's gardens,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,20,POINT (3868873.335942914 -1798096.911928432)
21,HH439BK,3,1,0,0,4,Unemployed ,,41.960301163586585,None ,Mattress on floor  ,0,46000,More than 5,2,Sometimes,Sometimes,2,4,Cement,Urinate/defaecate in the open ,Tube well / borehole ,"Yes, gas powered lights ",Never ,Never ,About once a week ,About once a week ,Several times a week ,Never ,About once a week ,Never ,About once a week ,Dyeratu,Dyeratu,Other (specify),Hand feeding (mother) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Health centre (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Unsure,21,POINT (3869170.071849241 -1810366.76767376)
22,HH432PK,3,0,0,0,3,Unemployed ,,65.99863107460644,None ,Bed and Matress ,2,20000,Three ,1,Sometimes,Sometimes,2,4,Cement,Borrow a toilet close by ,Piped outside dwelling ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,About once a week ,Several times a week ,Never ,Several times a week ,Never ,Less than once a week ,CHIKWAWA  BOMA,CHIKWAWA BOMA,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,22,POINT (3868902.201086877 -1809953.521177354)
23,HH501VK,1,1,1,0,3,Self employed ,Unskilled manual ,26.581793292265573,PSLC ,Mattress (GRASS) on floor  ,1,20000,One (respondents) ,1,Sometimes,Sometimes,1,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Dyeratu,Dyeratu,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Cure sick animals ,Cure sick animals ,23,POINT (3872700.426554391 -1805627.715784647)
24,HH423RK,1,3,0,0,4,Unemployed ,,32.2984257357974,PSLC ,Mattress (GRASS) on floor  ,1,1000,Four ,0,Often,Often,1,4,Sand/soil,Urinate/defaecate in the open ,Tube well / borehole ,No,Never ,About once a week ,Never ,Never ,Never ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,,NEDI market,Sweep it into the bush ,Self-feeding with hands ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Cure sick animals ,Cure sick animals ,24,POINT (3871869.255134736 -1807401.771367272)
25,HH455BK,2,0,1,0,3,Self employed ,Skilled manual ,27.696098562628336,PSLC ,Cloth / Sack on floor  ,0,250000,Four ,0,Sometimes,Sometimes,1,1,Sand/soil,Use public toilet ,Piped outside dwelling ,"Yes, gas powered lights ",Never ,Never ,Never ,Less than once a week ,Several times a week ,Never ,About once a week ,Never ,Several times a week ,Chikwawa,Chikwawa,Nothing ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,25,POINT (3872216.148931946 -1807324.636027912)
26,HH432PK,3,0,0,0,3,Unemployed ,,65.99863107460644,None ,Bed and Matress ,2,20000,Three ,1,Sometimes,Sometimes,2,4,Cement,Borrow a toilet close by ,Piped outside dwelling ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,About once a week ,Several times a week ,Never ,Several times a week ,Never ,Less than once a week ,CHIKWAWA  BOMA,CHIKWAWA BOMA,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,26,POINT (3868718.446003425 -1798594.646420583)
27,HH4585K,3,0,1,1,5,Unemployed ,,30.543463381245722,MSCE ,Cloth / Sack on floor  ,0,15000,Three ,0,Sometimes,Often,2,3,Sand/soil,Use public toilet ,Piped outside dwelling ,"Yes, gas powered lights ",Never ,Never ,Less than once a week ,About once a week ,About once a week ,Less than once a week ,Less than once a week ,About once a week ,About once a week ,Chikwawa,Chikwawa,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Cure sick animals ,27,POINT (3866784.470225975 -1810957.584828173)
28,HH501VK,1,1,1,0,3,Self employed ,Unskilled manual ,26.581793292265573,PSLC ,Mattress (GRASS) on floor  ,1,20000,One (respondents) ,1,Sometimes,Sometimes,1,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Dyeratu,Dyeratu,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Cure sick animals ,Cure sick animals ,28,POINT (3872162.225770605 -1807420.476146762)
29,HH452HK,2,3,1,0,6,Unemployed ,,43.75906913073238,JCE  ,Cloth / Sack on floor  ,0,15000,Four ,3,Never,Sometimes,2,4,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, solar powered lights ",Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,About once a week ,Never ,About once a week ,Less than once a week ,About once a week ,DYERATU MARKET,DYERATU MARKET,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Prevent animals from becoming sick ,29,POINT (3869570.299638254 -1811589.840632287)
30,HH478YK,2,2,0,0,4,Unemployed ,,32.11772758384668,PSLC ,Mattress (GRASS) on floor  ,1,3000,More than 5,2,Often,Sometimes,4,3,Sand/soil,Wait till I get home ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Mobile market,people's gardens,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,30,POINT (3872204.855246779 -1806674.49056191)
31,HH413VK,2,0,1,0,3,Paid domestic worker ,Unskilled manual ,0.35044490075290896,PSLC ,Cloth / Sack on floor  ,0,20000,Five ,1,Never,Never,2,4,Cement,Borrow a toilet close by ,Public tap / Standpipe ,No,Never ,Never ,Less than once a week ,About once a week ,Several times a week ,Never ,Less than once a week ,Never ,About once a week ,Chikwawa,Chikwawa,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Unsure,31,POINT (3866605.301505544 -1811666.725832427)
32,HH501VK,1,1,1,0,3,Self employed ,Unskilled manual ,26.581793292265573,PSLC ,Mattress (GRASS) on floor  ,1,20000,One (respondents) ,1,Sometimes,Sometimes,1,3,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Dyeratu,Dyeratu,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Cure sick animals ,Cure sick animals ,32,POINT (3872402.286252501 -1806676.61668911)
33,HH470DK,2,0,0,1,3,Self employed ,Skilled manual ,24.629705681040384,PSLC ,Mattress on floor  ,1,6000,More than 5,0,Sometimes,Sometimes,2,2,Sand/soil,Urinate/defaecate in the open ,Tube well / borehole ,No,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Gardens,Pantondo local market in our area,Nothing ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other (specify),Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,33,POINT (3869484.491891951 -1810561.050093072)
34,HH4833K,2,2,0,0,4,Unemployed ,,56.145106091718,None ,Mattress on floor  ,1,30000,One (respondents) ,1,Sometimes,Sometimes,1,5,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,About once a week ,Less than once a week ,Several times a week ,Dyeratu,Dyeratu,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,34,POINT (3871707.308441218 -1810399.814065187)
35,HH4761K,1,2,0,0,3,Paid domestic worker ,Skilled manual ,29.809719370294317,PSLC ,Mattress (GRASS) on floor  ,1,2000,More than 5,1,Sometimes,Never,4,3,Sand/soil,Urinate/defaecate in the open ,Tube well / borehole ,No,Never ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Mobile market,People's gardens,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,35,POINT (3868219.26714281 -1797190.454052111)
36,HH4577K,2,3,1,0,6,Unemployed ,,32.70636550308008,PSLC ,Cloth / Sack on floor  ,0,3000,Four ,3,Often,Sometimes,1,2,Sand/soil,Use public toilet ,Piped outside dwelling ,"Yes, gas powered lights ",Never ,Less than once a week ,About once a week ,Never ,Several times a week ,Never ,Less than once a week ,Never ,Less than once a week ,Chikwawa,Chikwawa,Nothing ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,36,POINT (3870134.040308097 -1800251.816140968)
37,HH4833K,2,2,0,0,4,Unemployed ,,56.145106091718,None ,Mattress on floor  ,1,30000,One (respondents) ,1,Sometimes,Sometimes,1,5,Sand/soil,Use public toilet ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Never ,Less than once a week ,Less than once a week ,About once a week ,Less than once a week ,Several times a week ,Dyeratu,Dyeratu,Use it as manure ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Cure sick animals ,37,POINT (3867258.769180398 -1811193.360382054)
38,HH431RK,4,0,0,0,4,Paid employee ,Skilled manual ,39.63586584531143,MSCE ,Bed and Matress ,1,200000,Two ,1,Never,Never,2,5,Cement,Borrow a toilet close by ,Piped into dwelling ,"Yes, solar powered lights ",Never ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Never ,About once a week ,Never ,Never ,Dyeratu,Chikwawa,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,The vets ,Prevent animals from becoming sick ,Unsure,38,POINT (3872207.981932976 -1806046.321948473)
39,HH4737K,2,2,1,0,5,Paid domestic worker ,Skilled manual ,32.4435318275154,PSLC ,Mattress (GRASS) on floor  ,1,20000,One (respondents) ,1,Never,Sometimes,1,2,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,No,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Less than once a week ,Never ,About once a week ,Less than once a week ,About once a week ,Dyeratu,Dyeratu,Nothing ,Hand feeding (mother) ,Other hospital (gov) ,Health centre (private) ,Health centre (gov) ,Other hospital (gov) ,Other hospital (gov) ,My own judgement? ,Cure sick animals ,Cure sick animals ,39,POINT (3866067.717420604 -1809037.888799008)
40,HH432PK,3,0,0,0,3,Unemployed ,,65.99863107460644,None ,Bed and Matress ,2,20000,Three ,1,Sometimes,Sometimes,2,4,Cement,Borrow a toilet close by ,Piped outside dwelling ,"Yes, electric lights ",Less than once a week ,Never ,Less than once a week ,About once a week ,Several times a week ,Never ,Several times a week ,Never ,Less than once a week ,CHIKWAWA  BOMA,CHIKWAWA BOMA,Sweep it into the bush ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,40,POINT (3869028.437389437 -1798147.354064026)
41,HH417NK,3,4,0,0,7,Unemployed ,,43.592060232717316,PSLC ,Cloth / Sack on floor  ,0,5000,Five ,4,Sometimes,Sometimes,3,4,Sand/soil,Borrow a toilet close by ,Tube well / borehole ,"Yes, gas powered lights ",About once a week ,Never ,Less than once a week ,Less than once a week ,Several times a week ,Never ,Less than once a week ,Never ,About once a week ,Nedi,Nedi,Put it in the refuse pit ,Hand feeding (other caregiver) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Unsure,Unsure,41,POINT (3866146.064078224 -1805589.865381197)
42,HH460HK,2,0,1,1,4,Unemployed ,,45.51129363449692,None ,Bed and Matress ,0,30000,Three ,0,Sometimes,Sometimes,3,3,Cement,Borrow a toilet close by ,Public tap / Standpipe ,"Yes, gas powered lights ",Less than once a week ,About once a week ,Less than once a week ,Several times a week ,Less than once a week ,Several times a week ,About once a week ,Never ,Less than once a week ,BOMA MARKET,BOMA  MARKET,Use it as manure ,Hand feeding (mother) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Other hospital (gov) ,Others (specify),Prevent animals from becoming sick ,Unsure,42,POINT (3871677.55183964 -1803050.755862434)
