individual_number,house_number,age,ip_sex
319,133,34.0,Male 
320,134,35.0,Female
321,134,3.0,Female
322,134,0.0,Female
323,134,34.0,Male 
324,137,29.0,Female
325,137,5.0,Female
326,137,2.0,Female
327,139,37.0,Female
328,139,5.0,Female
329,139,32.0,Male 
330,139,1.0,Female
331,140,24.0,Female
332,140,27.0,Male 
333,140,2.0,Male 
334,143,30.0,Male 
335,143,26.0,Female
336,143,5.0,Female
337,146,29.0,Female
338,146,1.0,Male 
339,147,33.0,Female
340,147,46.0,Male 
341,147,15.0,Male 
342,147,10.0,Male 
343,154,29.0,Male 
344,154,24.0,Female
345,154,5.0,Male 
346,154,8.0,Female
347,157,41.0,Female
348,157,43.0,Male 
349,157,8.0,Male 
350,158,40.0,Female
351,158,4.0,Female
352,158,44.0,Male 
353,159,35.0,Female
354,159,3.0,Female
355,159,0.0,Female
356,159,34.0,Male 
357,161,25.0,Male 
358,161,19.0,Female
359,161,0.0,Female
360,162,10.0,Female
361,162,15.0,Male 
362,162,37.0,Male 
363,162,29.0,Female
364,163,10.0,Female
365,163,15.0,Male 
366,163,37.0,Male 
367,163,29.0,Female
368,165,35.0,Female
369,165,3.0,Female
370,165,0.0,Female
371,165,34.0,Male 
372,169,17.0,Female
373,169,12.0,Male 
374,169,32.0,Female
375,169,10.0,Male 
376,170,40.0,Female
377,170,4.0,Female
378,170,44.0,Male 
379,172,17.0,Female
380,172,12.0,Male 
381,172,32.0,Female
382,172,10.0,Male 
383,173,34.0,Female
384,173,9.0,Female
385,173,9.0,Male 
386,173,1.0,Male 
387,176,34.0,Female
388,176,9.0,Female
389,176,9.0,Male 
390,176,1.0,Male 
391,178,35.0,Male 
392,178,29.0,Female
393,178,11.0,Female
394,178,5.0,Female
395,178,5.0,Male 
396,179,29.0,Female
397,179,5.0,Female
398,181,29.0,Female
399,181,5.0,Female
400,183,10.0,Female
401,183,15.0,Male 
402,183,37.0,Male 
403,183,29.0,Female
404,186,24.0,Female
405,186,27.0,Male 
406,186,2.0,Male 
407,187,53.0,Female
408,187,53.0,Female
409,189,35.0,Male 
410,189,29.0,Female
411,189,11.0,Female
412,189,5.0,Female
413,189,5.0,Male 
414,190,32.0,Female
415,190,16.0,Male 
416,190,10.0,Male 
417,190,5.0,Male 
418,197,52.0,Female
419,197,16.0,Male 
420,197,25.0,Male 
421,197,18.0,Female
422,201,40.0,Female
423,201,4.0,Female
424,201,44.0,Male 
425,203,29.0,Male 
426,203,24.0,Female
427,203,5.0,Male 
428,203,8.0,Female
429,205,33.0,Female
430,205,46.0,Male 
431,205,15.0,Male 
432,205,10.0,Male 
433,208,37.0,Female
434,208,5.0,Female
435,208,32.0,Male 
436,208,1.0,Female
437,209,35.0,Male 
438,209,29.0,Female
439,209,11.0,Female
440,209,5.0,Female
441,209,5.0,Male 
442,211,45.0,Female
443,211,21.0,Female
444,211,60.0,Male 
445,213,24.0,Female
446,213,27.0,Male 
447,213,2.0,Male 
448,218,30.0,Male 
449,218,26.0,Female
450,218,5.0,Female
451,219,24.0,Female
452,219,27.0,Male 
453,219,2.0,Male 
454,224,30.0,Male 
455,224,26.0,Female
456,224,5.0,Female
457,232,30.0,Male 
458,232,26.0,Female
459,232,5.0,Female
460,234,17.0,Female
461,234,12.0,Male 
462,234,32.0,Female
463,234,10.0,Male 
464,236,52.0,Female
465,236,3.0,Female
466,236,1.0,Female
467,236,12.0,Female
468,237,40.0,Female
469,237,4.0,Female
470,237,44.0,Male 
471,238,33.0,Female
472,238,46.0,Male 
473,238,15.0,Male 
474,238,10.0,Male 
475,239,33.0,Female
476,239,46.0,Male 
477,239,15.0,Male 
478,239,10.0,Male 
479,241,32.0,Female
480,241,44.0,Male 
481,241,16.0,Female
482,241,11.0,Female
483,241,3.0,Female
484,241,6.0,Male 
485,242,24.0,Female
486,242,27.0,Male 
487,242,2.0,Male 
488,243,29.0,Male 
489,243,24.0,Female
490,243,5.0,Male 
491,243,8.0,Female
492,245,35.0,Female
493,245,3.0,Female
494,245,0.0,Female
495,245,34.0,Male 
496,250,35.0,Male 
497,250,29.0,Female
498,250,11.0,Female
499,250,5.0,Female
500,250,5.0,Male 
501,251,20.0,Female
502,251,19.0,Male 
503,251,24.0,Male 
504,251,3.0,Male 
505,256,37.0,Female
506,256,5.0,Female
507,256,32.0,Male 
508,256,1.0,Female
509,257,45.0,Female
510,257,10.0,Male 
511,257,19.0,Male 
512,257,16.0,Male 
513,259,13.0,Male 
514,259,7.0,Female
515,259,30.0,Female
516,259,5.0,Male 
517,261,13.0,Male 
518,261,7.0,Female
519,261,30.0,Female
520,261,5.0,Male 
521,266,20.0,Female
522,266,19.0,Male 
523,266,24.0,Male 
524,266,3.0,Male 
525,269,45.0,Female
526,269,10.0,Male 
527,269,19.0,Male 
528,269,16.0,Male 
529,270,20.0,Female
530,270,19.0,Male 
531,270,24.0,Male 
532,270,3.0,Male 
533,271,39.0,Male 
534,271,18.0,Female
535,271,34.0,Female
536,271,0.0,Male 
537,272,17.0,Female
538,272,12.0,Male 
539,272,32.0,Female
540,272,10.0,Male 
541,273,53.0,Female
542,273,53.0,Female
543,274,39.0,Male 
544,274,18.0,Female
545,274,34.0,Female
546,274,0.0,Male 
547,275,13.0,Male 
548,275,7.0,Female
549,275,30.0,Female
550,275,5.0,Male 
551,278,8.0,Male 
552,278,59.0,Male 
553,278,49.0,Female
554,280,33.0,Female
555,280,41.0,Male 
556,280,8.0,Female
557,281,17.0,Female
558,281,12.0,Male 
559,281,32.0,Female
560,281,10.0,Male 
561,287,13.0,Male 
562,287,7.0,Female
563,287,30.0,Female
564,287,5.0,Male 
565,292,24.0,Female
566,292,27.0,Male 
567,292,2.0,Male 
568,293,52.0,Female
569,293,3.0,Female
570,293,1.0,Female
571,293,12.0,Female
572,294,18.0,Female
573,294,22.0,Male 
574,296,37.0,Female
575,296,5.0,Female
576,296,32.0,Male 
577,296,1.0,Female
578,297,52.0,Female
579,297,16.0,Male 
580,297,25.0,Male 
581,297,18.0,Female
582,302,29.0,Male 
583,302,24.0,Female
584,302,5.0,Male 
585,302,8.0,Female
586,305,18.0,Female
587,305,22.0,Male 
588,306,40.0,Female
589,306,4.0,Female
590,306,44.0,Male 
591,307,10.0,Female
592,307,15.0,Male 
593,307,37.0,Male 
594,307,29.0,Female
595,310,35.0,Male 
596,310,29.0,Female
597,310,11.0,Female
598,310,5.0,Female
599,310,5.0,Male 
600,311,29.0,Female
601,311,5.0,Female
602,312,30.0,Female
603,312,5.0,Female
604,312,10.0,Male 
605,312,4.0,Male 
606,312,40.0,Male 
607,313,32.0,Female
608,313,44.0,Male 
609,313,16.0,Female
610,313,11.0,Female
611,313,3.0,Female
612,313,6.0,Male 
613,314,45.0,Female
614,314,5.0,Male 
615,314,13.0,Male 
616,314,50.0,Male 
617,314,10.0,Male 
618,323,33.0,Female
619,323,46.0,Male 
620,323,15.0,Male 
621,323,10.0,Male 
622,326,40.0,Female
623,326,4.0,Female
624,326,44.0,Male 
625,328,29.0,Female
626,328,5.0,Female
627,328,2.0,Female
628,332,13.0,Male 
629,332,7.0,Female
630,332,30.0,Female
631,332,5.0,Male 
632,333,17.0,Female
633,333,12.0,Male 
634,333,32.0,Female
635,333,10.0,Male 
636,334,20.0,Female
637,334,19.0,Male 
638,334,24.0,Male 
639,334,3.0,Male 
640,339,40.0,Female
641,339,4.0,Female
642,339,44.0,Male 
643,341,45.0,Female
644,341,21.0,Female
645,341,60.0,Male 
646,342,40.0,Female
647,342,4.0,Female
648,342,44.0,Male 
649,343,24.0,Female
650,343,27.0,Male 
651,343,2.0,Male 
652,344,25.0,Male 
653,344,19.0,Female
654,344,0.0,Female
655,350,35.0,Male 
656,350,29.0,Female
657,350,11.0,Female
658,350,5.0,Female
659,350,5.0,Male 
660,351,32.0,Female
661,351,44.0,Male 
662,351,16.0,Female
663,351,11.0,Female
664,351,3.0,Female
665,351,6.0,Male 
666,354,30.0,Male 
667,354,26.0,Female
668,354,5.0,Female
669,355,45.0,Female
670,355,21.0,Female
671,355,60.0,Male 
672,356,37.0,Female
673,356,5.0,Female
674,356,32.0,Male 
675,356,1.0,Female
676,360,29.0,Female
677,360,1.0,Male 
678,362,43.0,Female
679,362,16.0,Male 
680,362,8.0,Male 
681,362,22.0,Male 
682,362,19.0,Male 
683,362,11.0,Female
684,362,14.0,Female
685,363,32.0,Female
686,363,16.0,Male 
687,363,10.0,Male 
688,363,5.0,Male 
689,364,33.0,Female
690,364,46.0,Male 
691,364,15.0,Male 
692,364,10.0,Male 
693,366,7.0,Female
694,366,44.0,Male 
695,366,39.0,Female
696,366,2.0,Female
697,366,14.0,Female
698,366,11.0,Male 
699,369,32.0,Female
700,369,44.0,Male 
701,369,16.0,Female
702,369,11.0,Female
703,369,3.0,Female
704,369,6.0,Male 
705,371,8.0,Male 
706,371,59.0,Male 
707,371,49.0,Female
708,373,29.0,Male 
709,373,24.0,Female
710,373,5.0,Male 
711,373,8.0,Female
712,374,45.0,Female
713,374,10.0,Male 
714,374,19.0,Male 
715,374,16.0,Male 
716,375,32.0,Female
717,375,44.0,Male 
718,375,16.0,Female
719,375,11.0,Female
720,375,3.0,Female
721,375,6.0,Male 
722,376,52.0,Female
723,376,16.0,Male 
724,376,25.0,Male 
725,376,18.0,Female
726,379,33.0,Female
727,379,41.0,Male 
728,379,8.0,Female
729,380,53.0,Female
730,380,53.0,Female
731,385,30.0,Female
732,385,5.0,Female
733,385,10.0,Male 
734,385,4.0,Male 
735,385,40.0,Male 
736,387,39.0,Male 
737,387,18.0,Female
738,387,34.0,Female
739,387,0.0,Male 
740,388,41.0,Female
741,388,43.0,Male 
742,388,8.0,Male 
743,399,10.0,Female
744,399,15.0,Male 
745,399,37.0,Male 
746,399,29.0,Female
747,402,32.0,Female
748,402,16.0,Male 
749,402,10.0,Male 
750,402,5.0,Male 
751,404,37.0,Female
752,404,5.0,Female
753,404,32.0,Male 
754,404,1.0,Female
755,407,37.0,Female
756,407,5.0,Female
757,407,32.0,Male 
758,407,1.0,Female
759,410,29.0,Male 
760,410,24.0,Female
761,410,5.0,Male 
762,410,8.0,Female
763,414,45.0,Female
764,414,10.0,Male 
765,414,19.0,Male 
766,414,16.0,Male 
767,415,32.0,Female
768,415,44.0,Male 
769,415,16.0,Female
770,415,11.0,Female
771,415,3.0,Female
772,415,6.0,Male 
773,423,29.0,Female
774,423,5.0,Female
775,424,24.0,Female
776,424,27.0,Male 
777,424,2.0,Male 
778,426,34.0,Female
779,426,41.0,Male 
780,426,9.0,Female
781,426,7.0,Male 
782,426,2.0,Male 
783,426,1.0,Male 
784,433,25.0,Male 
785,433,19.0,Female
786,433,0.0,Female
787,434,7.0,Female
788,434,44.0,Male 
789,434,39.0,Female
790,434,2.0,Female
791,434,14.0,Female
792,434,11.0,Male 
793,435,34.0,Female
794,435,9.0,Female
795,435,9.0,Male 
796,435,1.0,Male 
797,436,37.0,Female
798,436,5.0,Female
799,436,32.0,Male 
800,436,1.0,Female
801,440,35.0,Male 
802,440,29.0,Female
803,440,11.0,Female
804,440,5.0,Female
805,440,5.0,Male 
806,444,35.0,Male 
807,444,29.0,Female
808,444,11.0,Female
809,444,5.0,Female
810,444,5.0,Male 
811,445,10.0,Female
812,445,15.0,Male 
813,445,37.0,Male 
814,445,29.0,Female
815,448,35.0,Female
816,448,3.0,Female
817,448,0.0,Female
818,448,34.0,Male 
819,449,34.0,Female
820,449,9.0,Female
821,449,9.0,Male 
822,449,1.0,Male 
823,450,40.0,Female
824,450,4.0,Female
825,450,44.0,Male 
826,452,35.0,Male 
827,452,29.0,Female
828,452,11.0,Female
829,452,5.0,Female
830,452,5.0,Male 
831,453,29.0,Female
832,453,5.0,Female
833,453,2.0,Female
834,454,10.0,Female
835,454,15.0,Male 
836,454,37.0,Male 
837,454,29.0,Female
838,455,35.0,Male 
839,455,29.0,Female
840,455,11.0,Female
841,455,5.0,Female
842,455,5.0,Male 
843,456,30.0,Male 
844,456,26.0,Female
845,456,5.0,Female
846,457,43.0,Female
847,457,16.0,Male 
848,457,8.0,Male 
849,457,22.0,Male 
850,457,19.0,Male 
851,457,11.0,Female
852,457,14.0,Female
853,464,43.0,Female
854,464,16.0,Male 
855,464,8.0,Male 
856,464,22.0,Male 
857,464,19.0,Male 
858,464,11.0,Female
859,464,14.0,Female
860,466,45.0,Female
861,466,10.0,Male 
862,466,19.0,Male 
863,466,16.0,Male 
864,467,53.0,Female
865,467,53.0,Female
866,468,33.0,Female
867,468,46.0,Male 
868,468,15.0,Male 
869,468,10.0,Male 
870,470,53.0,Female
871,470,53.0,Female
872,471,10.0,Female
873,471,15.0,Male 
874,471,37.0,Male 
875,471,29.0,Female
876,474,35.0,Female
877,474,3.0,Female
878,474,0.0,Female
879,474,34.0,Male 
880,475,52.0,Female
881,475,3.0,Female
882,475,1.0,Female
883,475,12.0,Female
884,478,53.0,Female
885,478,53.0,Female
886,479,52.0,Female
887,479,3.0,Female
888,479,1.0,Female
889,479,12.0,Female
890,480,53.0,Female
891,480,53.0,Female
892,482,41.0,Female
893,482,43.0,Male 
894,482,8.0,Male 
895,484,25.0,Male 
896,484,19.0,Female
897,484,0.0,Female
898,485,29.0,Female
899,485,1.0,Male 
900,488,40.0,Female
901,488,4.0,Female
902,488,44.0,Male 
903,490,35.0,Male 
904,490,29.0,Female
905,490,11.0,Female
906,490,5.0,Female
907,490,5.0,Male 
908,493,45.0,Female
909,493,5.0,Male 
910,493,13.0,Male 
911,493,50.0,Male 
912,493,10.0,Male 
913,498,45.0,Female
914,498,21.0,Female
915,498,60.0,Male 
916,501,30.0,Male 
917,501,26.0,Female
918,501,5.0,Female
919,502,8.0,Male 
920,502,59.0,Male 
921,502,49.0,Female
922,504,30.0,Male 
923,504,26.0,Female
924,504,5.0,Female
925,505,29.0,Female
926,505,1.0,Male 
927,506,33.0,Female
928,506,46.0,Male 
929,506,15.0,Male 
930,506,10.0,Male 
931,507,30.0,Male 
932,507,26.0,Female
933,507,5.0,Female
934,508,35.0,Female
935,508,3.0,Female
936,508,0.0,Female
937,508,34.0,Male 
938,509,35.0,Female
939,509,3.0,Female
940,509,0.0,Female
941,509,34.0,Male 
942,511,45.0,Female
943,511,5.0,Male 
944,511,13.0,Male 
945,511,50.0,Male 
946,511,10.0,Male 
947,512,32.0,Female
948,512,16.0,Male 
949,512,10.0,Male 
950,512,5.0,Male 
951,513,20.0,Female
952,513,19.0,Male 
953,513,24.0,Male 
954,513,3.0,Male 
955,515,30.0,Male 
956,515,26.0,Female
957,515,5.0,Female
958,518,7.0,Female
959,518,44.0,Male 
960,518,39.0,Female
961,518,2.0,Female
962,518,14.0,Female
963,518,11.0,Male 
964,519,35.0,Female
965,519,3.0,Female
966,519,0.0,Female
967,519,34.0,Male 
968,520,45.0,Female
969,520,21.0,Female
970,520,60.0,Male 
971,522,37.0,Female
972,522,5.0,Female
973,522,32.0,Male 
974,522,1.0,Female
975,523,17.0,Female
976,523,12.0,Male 
977,523,32.0,Female
978,523,10.0,Male 
979,524,45.0,Female
980,524,5.0,Male 
981,524,13.0,Male 
982,524,50.0,Male 
983,524,10.0,Male 
984,526,29.0,Female
985,526,5.0,Female
986,527,52.0,Female
987,527,16.0,Male 
988,527,25.0,Male 
989,527,18.0,Female
990,529,32.0,Female
991,529,44.0,Male 
992,529,16.0,Female
993,529,11.0,Female
994,529,3.0,Female
995,529,6.0,Male 
996,531,41.0,Female
997,531,43.0,Male 
998,531,8.0,Male 
999,532,34.0,Female
1000,532,41.0,Male 
1001,532,9.0,Female
1002,532,7.0,Male 
1003,532,2.0,Male 
1004,532,1.0,Male 
1005,533,45.0,Female
1006,533,21.0,Female
1007,533,60.0,Male 
1008,534,20.0,Female
1009,534,19.0,Male 
1010,534,24.0,Male 
1011,534,3.0,Male 
1012,535,41.0,Female
1013,535,43.0,Male 
1014,535,8.0,Male 
1015,536,45.0,Female
1016,536,21.0,Female
1017,536,60.0,Male 
1018,540,45.0,Female
1019,540,10.0,Male 
1020,540,19.0,Male 
1021,540,16.0,Male 
1022,541,45.0,Female
1023,541,21.0,Female
1024,541,60.0,Male 
1025,542,30.0,Female
1026,542,5.0,Female
1027,542,10.0,Male 
1028,542,4.0,Male 
1029,542,40.0,Male 
1030,543,40.0,Female
1031,543,4.0,Female
1032,543,44.0,Male 
1033,547,30.0,Female
1034,547,5.0,Female
1035,547,10.0,Male 
1036,547,4.0,Male 
1037,547,40.0,Male 
1038,549,35.0,Female
1039,549,3.0,Female
1040,549,0.0,Female
1041,549,34.0,Male 
1042,550,43.0,Female
1043,550,16.0,Male 
1044,550,8.0,Male 
1045,550,22.0,Male 
1046,550,19.0,Male 
1047,550,11.0,Female
1048,550,14.0,Female
1049,551,53.0,Female
1050,551,53.0,Female
1051,552,24.0,Female
1052,552,27.0,Male 
1053,552,2.0,Male 
1054,554,45.0,Female
1055,554,5.0,Male 
1056,554,13.0,Male 
1057,554,50.0,Male 
1058,554,10.0,Male 
1059,555,30.0,Male 
1060,555,26.0,Female
1061,555,5.0,Female
1062,557,29.0,Male 
1063,557,24.0,Female
1064,557,5.0,Male 
1065,557,8.0,Female
1066,558,7.0,Female
1067,558,44.0,Male 
1068,558,39.0,Female
1069,558,2.0,Female
1070,558,14.0,Female
1071,558,11.0,Male 
1072,560,35.0,Male 
1073,560,29.0,Female
1074,560,11.0,Female
1075,560,5.0,Female
1076,560,5.0,Male 
1077,563,45.0,Female
1078,563,21.0,Female
1079,563,60.0,Male 
1080,566,35.0,Female
1081,566,3.0,Female
1082,566,0.0,Female
1083,566,34.0,Male 
1084,567,45.0,Female
1085,567,10.0,Male 
1086,567,19.0,Male 
1087,567,16.0,Male 
1088,571,30.0,Female
1089,571,5.0,Female
1090,571,10.0,Male 
1091,571,4.0,Male 
1092,571,40.0,Male 
1093,573,29.0,Female
1094,573,5.0,Female
1095,576,34.0,Female
1096,576,9.0,Female
1097,576,9.0,Male 
1098,576,1.0,Male 
1099,579,29.0,Male 
1100,579,24.0,Female
1101,579,5.0,Male 
1102,579,8.0,Female
1103,580,8.0,Male 
1104,580,59.0,Male 
1105,580,49.0,Female
1106,586,52.0,Female
1107,586,3.0,Female
1108,586,1.0,Female
1109,586,12.0,Female
1110,587,29.0,Female
1111,587,1.0,Male 
1112,588,52.0,Female
1113,588,16.0,Male 
1114,588,25.0,Male 
1115,588,18.0,Female
1116,589,39.0,Male 
1117,589,18.0,Female
1118,589,34.0,Female
1119,589,0.0,Male 
1120,590,29.0,Female
1121,590,5.0,Female
1122,598,29.0,Female
1123,598,5.0,Female
1124,607,52.0,Female
1125,607,3.0,Female
1126,607,1.0,Female
1127,607,12.0,Female
1128,609,45.0,Female
1129,609,10.0,Male 
1130,609,19.0,Male 
1131,609,16.0,Male 
1132,610,18.0,Female
1133,610,22.0,Male 
1134,612,29.0,Female
1135,612,5.0,Female
1136,612,2.0,Female
1137,615,52.0,Female
1138,615,3.0,Female
1139,615,1.0,Female
1140,615,12.0,Female
1141,617,30.0,Female
1142,617,5.0,Female
1143,617,10.0,Male 
1144,617,4.0,Male 
1145,617,40.0,Male 
1146,622,29.0,Female
1147,622,5.0,Female
1148,625,39.0,Male 
1149,625,18.0,Female
1150,625,34.0,Female
1151,625,0.0,Male 
1152,628,34.0,Female
1153,628,41.0,Male 
1154,628,9.0,Female
1155,628,7.0,Male 
1156,628,2.0,Male 
1157,628,1.0,Male 
1158,631,39.0,Male 
1159,631,18.0,Female
1160,631,34.0,Female
1161,631,0.0,Male 
1162,632,10.0,Female
1163,632,15.0,Male 
1164,632,37.0,Male 
1165,632,29.0,Female
1166,635,30.0,Male 
1167,635,26.0,Female
1168,635,5.0,Female
1169,637,24.0,Female
1170,637,27.0,Male 
1171,637,2.0,Male 
1172,639,32.0,Female
1173,639,16.0,Male 
1174,639,10.0,Male 
1175,639,5.0,Male 
1176,641,24.0,Female
1177,641,27.0,Male 
1178,641,2.0,Male 
1179,642,35.0,Female
1180,642,3.0,Female
1181,642,0.0,Female
1182,642,34.0,Male 
1183,643,13.0,Male 
1184,643,7.0,Female
1185,643,30.0,Female
1186,643,5.0,Male 
1187,644,29.0,Female
1188,644,5.0,Female
1189,644,2.0,Female
1190,645,25.0,Male 
1191,645,19.0,Female
1192,645,0.0,Female
1193,646,29.0,Male 
1194,646,24.0,Female
1195,646,5.0,Male 
1196,646,8.0,Female
1197,648,29.0,Female
1198,648,5.0,Female
1199,649,39.0,Male 
1200,649,18.0,Female
1201,649,34.0,Female
