individual_number,house_number,age,ip_sex
320,115,9.0,Female
321,115,43.0,Male 
322,115,28.0,Female
323,115,16.0,Male 
324,115,3.0,Male 
325,116,32.0,Female
326,116,13.0,Female
327,116,2.0,Female
328,117,45.0,Male 
329,117,35.0,Female
330,117,3.0,Female
331,118,7.0,Male 
332,118,71.0,Male 
333,119,31.0,Female
334,119,9.0,Male 
335,119,5.0,Male 
336,119,33.0,Male 
337,120,37.0,Male 
338,120,38.0,Female
339,120,5.0,Female
340,120,2.0,Male 
341,121,7.0,Male 
342,121,71.0,Male 
343,124,40.0,Male 
344,124,30.0,Female
345,125,32.0,Female
346,125,6.0,Female
347,125,12.0,Male 
348,125,44.0,Male 
349,126,7.0,Male 
350,126,71.0,Male 
351,127,36.0,Male 
352,127,10.0,Female
353,130,7.0,Male 
354,130,71.0,Male 
355,131,47.0,Male 
356,131,9.0,Male 
357,131,39.0,Female
358,131,14.0,Male 
359,133,57.0,Male 
360,133,54.0,Female
361,133,9.0,Female
362,133,18.0,Male 
363,135,69.0,Female
364,135,19.0,Male 
365,135,30.0,Male 
366,137,40.0,Male 
367,137,30.0,Female
368,138,61.0,Female
369,138,22.0,Female
370,140,45.0,Male 
371,140,35.0,Female
372,140,3.0,Female
373,141,82.0,Male 
374,141,12.0,Female
375,141,43.0,Female
376,144,7.0,Male 
377,144,71.0,Male 
378,146,33.0,Female
379,146,6.0,Male 
380,146,35.0,Male 
381,147,30.0,Female
382,147,0.0,Female
383,147,3.0,Female
384,147,10.0,Female
385,147,8.0,Male 
386,147,40.0,Male 
387,148,64.0,Female
388,148,74.0,Male 
389,151,37.0,Male 
390,151,46.0,Female
391,152,47.0,Male 
392,152,9.0,Male 
393,152,39.0,Female
394,152,14.0,Male 
395,156,60.0,Female
396,156,63.0,Male 
397,158,64.0,Female
398,158,74.0,Male 
399,159,20.0,Male 
400,159,28.0,Female
401,160,57.0,Male 
402,160,54.0,Female
403,160,9.0,Female
404,160,18.0,Male 
405,161,15.0,Male 
406,161,5.0,Male 
407,161,19.0,Female
408,161,40.0,Male 
409,161,39.0,Female
410,161,13.0,Female
411,161,10.0,Female
412,164,7.0,Male 
413,164,71.0,Male 
414,165,64.0,Female
415,165,74.0,Male 
416,166,64.0,Female
417,166,74.0,Male 
418,168,47.0,Male 
419,168,9.0,Male 
420,168,39.0,Female
421,168,14.0,Male 
422,169,1.0,Male 
423,169,26.0,Female
424,169,5.0,Male 
425,169,30.0,Male 
426,170,82.0,Male 
427,170,12.0,Female
428,170,43.0,Female
429,172,20.0,Male 
430,172,28.0,Female
431,173,64.0,Female
432,173,74.0,Male 
433,175,69.0,Female
434,175,19.0,Male 
435,175,30.0,Male 
436,176,20.0,Male 
437,176,28.0,Female
438,178,82.0,Male 
439,178,12.0,Female
440,178,43.0,Female
441,180,34.0,Male 
442,180,25.0,Female
443,180,5.0,Female
444,180,7.0,Male 
445,181,50.0,Female
446,181,6.0,Male 
447,181,11.0,Male 
448,182,16.0,Male 
449,182,19.0,Male 
450,182,57.0,Female
451,184,69.0,Female
452,184,19.0,Male 
453,184,30.0,Male 
454,186,40.0,Male 
455,186,30.0,Female
456,187,57.0,Male 
457,187,54.0,Female
458,187,9.0,Female
459,187,18.0,Male 
460,188,32.0,Female
461,188,13.0,Female
462,188,2.0,Female
463,190,23.0,Female
464,190,65.0,Female
465,190,8.0,Male 
466,190,30.0,Female
467,190,5.0,Male 
468,190,0.0,Female
469,190,30.0,Female
470,191,19.0,Male 
471,191,46.0,Female
472,191,53.0,Male 
473,192,16.0,Male 
474,192,19.0,Male 
475,192,57.0,Female
476,193,23.0,Female
477,193,40.0,Male 
478,194,39.0,Female
479,194,7.0,Female
480,194,3.0,Male 
481,194,3.0,Male 
482,194,47.0,Male 
483,196,24.0,Female
484,196,29.0,Female
485,196,8.0,Female
486,196,10.0,Male 
487,196,41.0,Male 
488,196,0.0,Male 
489,198,23.0,Female
490,198,40.0,Male 
491,200,1.0,Female
492,200,11.0,Male 
493,200,5.0,Male 
494,200,34.0,Male 
495,200,3.0,Female
496,200,42.0,Female
497,201,1.0,Male 
498,201,26.0,Female
499,201,5.0,Male 
500,201,30.0,Male 
501,202,24.0,Male 
502,202,18.0,Male 
503,202,55.0,Female
504,202,22.0,Male 
505,203,40.0,Male 
506,203,30.0,Female
507,205,23.0,Female
508,205,65.0,Female
509,205,8.0,Male 
510,205,30.0,Female
511,205,5.0,Male 
512,205,0.0,Female
513,205,30.0,Female
514,207,20.0,Female
515,207,4.0,Female
516,207,42.0,Female
517,207,5.0,Male 
518,208,61.0,Female
519,208,22.0,Female
520,210,1.0,Female
521,210,11.0,Male 
522,210,5.0,Male 
523,210,34.0,Male 
524,210,3.0,Female
525,210,42.0,Female
526,215,23.0,Female
527,215,40.0,Male 
528,217,61.0,Female
529,217,22.0,Female
530,218,91.0,Male 
531,218,10.0,Male 
532,218,16.0,Female
533,218,87.0,Female
534,219,37.0,Female
535,219,11.0,Female
536,219,7.0,Female
537,219,13.0,Male 
538,219,19.0,Female
539,219,41.0,Male 
540,220,19.0,Male 
541,220,46.0,Female
542,220,53.0,Male 
543,221,20.0,Female
544,221,4.0,Female
545,221,42.0,Female
546,221,5.0,Male 
547,222,37.0,Female
548,222,11.0,Female
549,222,7.0,Female
550,222,13.0,Male 
551,222,19.0,Female
552,222,41.0,Male 
553,224,46.0,Female
554,224,12.0,Male 
555,224,23.0,Female
556,224,52.0,Male 
557,226,23.0,Female
558,226,40.0,Male 
559,230,18.0,Female
560,230,11.0,Female
561,230,10.0,Female
562,230,11.0,Male 
563,230,45.0,Male 
564,230,35.0,Female
565,230,6.0,Male 
566,233,19.0,Male 
567,233,46.0,Female
568,233,53.0,Male 
569,237,61.0,Female
570,237,22.0,Female
571,238,37.0,Male 
572,238,46.0,Female
573,242,23.0,Female
574,242,65.0,Female
575,242,8.0,Male 
576,242,30.0,Female
577,242,5.0,Male 
578,242,0.0,Female
579,242,30.0,Female
580,243,1.0,Male 
581,243,26.0,Female
582,243,5.0,Male 
583,243,30.0,Male 
584,245,60.0,Female
585,245,63.0,Male 
586,246,19.0,Male 
587,246,46.0,Female
588,246,53.0,Male 
589,247,15.0,Male 
590,247,5.0,Male 
591,247,19.0,Female
592,247,40.0,Male 
593,247,39.0,Female
594,247,13.0,Female
595,247,10.0,Female
596,248,16.0,Male 
597,248,19.0,Male 
598,248,57.0,Female
599,249,16.0,Male 
600,249,19.0,Male 
601,249,57.0,Female
602,255,26.0,Female
603,255,39.0,Male 
604,256,19.0,Male 
605,256,46.0,Female
606,256,53.0,Male 
607,260,28.0,Female
608,260,33.0,Male 
609,260,34.0,Male 
610,260,3.0,Male 
611,260,20.0,Female
612,260,18.0,Male 
613,261,1.0,Female
614,261,11.0,Male 
615,261,5.0,Male 
616,261,34.0,Male 
617,261,3.0,Female
618,261,42.0,Female
619,263,28.0,Female
620,263,33.0,Male 
621,263,34.0,Male 
622,263,3.0,Male 
623,263,20.0,Female
624,263,18.0,Male 
625,267,60.0,Female
626,267,63.0,Male 
627,268,46.0,Female
628,268,12.0,Male 
629,268,23.0,Female
630,268,52.0,Male 
631,269,24.0,Male 
632,269,25.0,Female
633,269,9.0,Female
634,269,0.0,Male 
635,272,18.0,Female
636,272,11.0,Female
637,272,10.0,Female
638,272,11.0,Male 
639,272,45.0,Male 
640,272,35.0,Female
641,272,6.0,Male 
642,274,26.0,Female
643,274,39.0,Male 
644,277,48.0,Female
645,277,10.0,Male 
646,277,8.0,Male 
647,277,60.0,Male 
648,281,7.0,Male 
649,281,71.0,Male 
650,282,45.0,Male 
651,282,35.0,Female
652,282,3.0,Female
653,284,15.0,Male 
654,284,5.0,Male 
655,284,19.0,Female
656,284,40.0,Male 
657,284,39.0,Female
658,284,13.0,Female
659,284,10.0,Female
660,285,37.0,Female
661,285,11.0,Female
662,285,7.0,Female
663,285,13.0,Male 
664,285,19.0,Female
665,285,41.0,Male 
666,293,39.0,Female
667,293,7.0,Female
668,293,3.0,Male 
669,293,3.0,Male 
670,293,47.0,Male 
671,296,7.0,Male 
672,296,71.0,Male 
673,297,60.0,Female
674,297,63.0,Male 
675,299,35.0,Female
676,299,14.0,Female
677,299,9.0,Female
678,299,14.0,Male 
679,301,58.0,Female
680,301,21.0,Female
681,302,0.0,Female
682,302,9.0,Female
683,302,43.0,Male 
684,302,28.0,Female
685,302,16.0,Male 
686,302,3.0,Male 
687,303,68.0,Female
688,303,68.0,Male 
689,306,8.0,Female
690,306,11.0,Female
691,306,24.0,Male 
692,306,40.0,Female
693,308,68.0,Female
694,308,68.0,Male 
695,313,29.0,Female
696,313,56.0,Female
697,313,18.0,Female
698,313,57.0,Male 
699,313,9.0,Male 
700,313,31.0,Female
701,313,10.0,Male 
702,315,24.0,Male 
703,315,18.0,Male 
704,315,55.0,Female
705,315,22.0,Male 
706,316,57.0,Male 
707,316,54.0,Female
708,316,9.0,Female
709,316,18.0,Male 
710,320,20.0,Male 
711,320,28.0,Female
712,326,57.0,Male 
713,326,54.0,Female
714,326,9.0,Female
715,326,18.0,Male 
716,331,37.0,Male 
717,331,46.0,Female
718,332,82.0,Male 
719,332,12.0,Female
720,332,43.0,Female
721,333,68.0,Female
722,333,68.0,Male 
723,334,46.0,Female
724,334,12.0,Male 
725,334,23.0,Female
726,334,52.0,Male 
727,335,64.0,Female
728,335,74.0,Male 
729,338,26.0,Female
730,338,39.0,Male 
731,339,20.0,Female
732,339,4.0,Female
733,339,42.0,Female
734,339,5.0,Male 
735,340,24.0,Female
736,340,29.0,Female
737,340,8.0,Female
738,340,10.0,Male 
739,340,41.0,Male 
740,340,0.0,Male 
741,342,1.0,Male 
742,342,26.0,Female
743,342,5.0,Male 
744,342,30.0,Male 
745,343,37.0,Male 
746,343,38.0,Female
747,343,5.0,Female
748,343,2.0,Male 
749,348,13.0,Male 
750,348,10.0,Male 
751,348,33.0,Female
752,348,3.0,Male 
753,351,40.0,Male 
754,351,30.0,Female
755,353,8.0,Female
756,353,11.0,Female
757,353,24.0,Male 
758,353,40.0,Female
759,354,45.0,Male 
760,354,35.0,Female
761,354,3.0,Female
762,355,57.0,Male 
763,355,54.0,Female
764,355,9.0,Female
765,355,18.0,Male 
766,356,68.0,Female
767,356,68.0,Male 
768,359,24.0,Male 
769,359,25.0,Female
770,359,9.0,Female
771,359,0.0,Male 
772,361,13.0,Male 
773,361,10.0,Male 
774,361,33.0,Female
775,361,3.0,Male 
776,363,20.0,Male 
777,363,28.0,Female
778,364,32.0,Female
779,364,13.0,Female
780,364,2.0,Female
781,365,45.0,Male 
782,365,35.0,Female
783,365,3.0,Female
784,366,48.0,Female
785,366,10.0,Male 
786,366,8.0,Male 
787,366,60.0,Male 
788,367,37.0,Female
789,367,11.0,Female
790,367,7.0,Female
791,367,13.0,Male 
792,367,19.0,Female
793,367,41.0,Male 
794,369,91.0,Male 
795,369,10.0,Male 
796,369,16.0,Female
797,369,87.0,Female
798,370,16.0,Male 
799,370,19.0,Male 
800,370,57.0,Female
801,372,16.0,Male 
802,372,19.0,Male 
803,372,57.0,Female
804,374,68.0,Female
805,374,68.0,Male 
806,377,68.0,Male 
807,377,65.0,Female
808,377,23.0,Female
809,377,22.0,Female
810,378,23.0,Female
811,378,40.0,Male 
812,382,1.0,Male 
813,382,26.0,Female
814,382,5.0,Male 
815,382,30.0,Male 
816,383,40.0,Male 
817,383,30.0,Female
818,384,18.0,Female
819,384,11.0,Female
820,384,10.0,Female
821,384,11.0,Male 
822,384,45.0,Male 
823,384,35.0,Female
824,384,6.0,Male 
825,386,28.0,Female
826,386,33.0,Male 
827,386,34.0,Male 
828,386,3.0,Male 
829,386,20.0,Female
830,386,18.0,Male 
831,387,68.0,Male 
832,387,65.0,Female
833,387,23.0,Female
834,387,22.0,Female
835,389,48.0,Female
836,389,10.0,Male 
837,389,8.0,Male 
838,389,60.0,Male 
839,391,45.0,Male 
840,391,35.0,Female
841,391,3.0,Female
842,392,24.0,Female
843,392,29.0,Female
844,392,8.0,Female
845,392,10.0,Male 
846,392,41.0,Male 
847,392,0.0,Male 
848,393,28.0,Female
849,393,33.0,Male 
850,393,34.0,Male 
851,393,3.0,Male 
852,393,20.0,Female
853,393,18.0,Male 
854,396,37.0,Male 
855,396,38.0,Female
856,396,5.0,Female
857,396,2.0,Male 
858,398,32.0,Female
859,398,13.0,Female
860,398,2.0,Female
861,399,48.0,Female
862,399,10.0,Male 
863,399,8.0,Male 
864,399,60.0,Male 
865,401,36.0,Male 
866,401,10.0,Female
867,402,37.0,Male 
868,402,46.0,Female
869,403,26.0,Female
870,403,39.0,Male 
871,405,82.0,Male 
872,405,12.0,Female
873,405,43.0,Female
874,406,60.0,Female
875,406,63.0,Male 
876,409,33.0,Female
877,409,6.0,Male 
878,409,35.0,Male 
879,410,24.0,Male 
880,410,25.0,Female
881,410,9.0,Female
882,410,0.0,Male 
883,411,1.0,Male 
884,411,26.0,Female
885,411,5.0,Male 
886,411,30.0,Male 
887,412,68.0,Male 
888,412,65.0,Female
889,412,23.0,Female
890,412,22.0,Female
891,413,1.0,Female
892,413,11.0,Male 
893,413,5.0,Male 
894,413,34.0,Male 
895,413,3.0,Female
896,413,42.0,Female
897,414,7.0,Male 
898,414,71.0,Male 
899,415,23.0,Female
900,415,65.0,Female
901,415,8.0,Male 
902,415,30.0,Female
903,415,5.0,Male 
904,415,0.0,Female
905,415,30.0,Female
906,417,1.0,Male 
907,417,26.0,Female
908,417,5.0,Male 
909,417,30.0,Male 
910,418,28.0,Female
911,418,33.0,Male 
912,418,34.0,Male 
913,418,3.0,Male 
914,418,20.0,Female
915,418,18.0,Male 
916,419,30.0,Female
917,419,0.0,Female
918,419,3.0,Female
919,419,10.0,Female
920,419,8.0,Male 
921,419,40.0,Male 
922,421,45.0,Male 
923,421,35.0,Female
924,421,3.0,Female
925,422,58.0,Female
926,422,21.0,Female
927,423,57.0,Male 
928,423,54.0,Female
929,423,9.0,Female
930,423,18.0,Male 
931,424,48.0,Female
932,424,10.0,Male 
933,424,8.0,Male 
934,424,60.0,Male 
935,425,28.0,Female
936,425,33.0,Male 
937,425,34.0,Male 
938,425,3.0,Male 
939,425,20.0,Female
940,425,18.0,Male 
941,426,50.0,Female
942,426,6.0,Male 
943,426,11.0,Male 
944,427,24.0,Male 
945,427,18.0,Male 
946,427,55.0,Female
947,427,22.0,Male 
948,430,57.0,Male 
949,430,54.0,Female
950,430,9.0,Female
951,430,18.0,Male 
952,432,23.0,Female
953,432,40.0,Male 
954,433,46.0,Female
955,433,12.0,Male 
956,433,23.0,Female
957,433,52.0,Male 
958,436,58.0,Female
959,436,21.0,Female
960,438,24.0,Female
961,438,29.0,Female
962,438,8.0,Female
963,438,10.0,Male 
964,438,41.0,Male 
965,438,0.0,Male 
966,439,48.0,Female
967,439,10.0,Male 
968,439,8.0,Male 
969,439,60.0,Male 
970,441,13.0,Male 
971,441,10.0,Male 
972,441,33.0,Female
973,441,3.0,Male 
974,442,57.0,Male 
975,442,54.0,Female
976,442,9.0,Female
977,442,18.0,Male 
978,444,13.0,Male 
979,444,10.0,Male 
980,444,33.0,Female
981,444,3.0,Male 
982,445,7.0,Male 
983,445,71.0,Male 
984,446,69.0,Female
985,446,19.0,Male 
986,446,30.0,Male 
987,447,20.0,Female
988,447,4.0,Female
989,447,42.0,Female
990,447,5.0,Male 
991,451,45.0,Male 
992,451,35.0,Female
993,451,3.0,Female
994,452,18.0,Female
995,452,11.0,Female
996,452,10.0,Female
997,452,11.0,Male 
998,452,45.0,Male 
999,452,35.0,Female
1000,452,6.0,Male 
1001,454,30.0,Female
1002,454,0.0,Female
1003,454,3.0,Female
1004,454,10.0,Female
1005,454,8.0,Male 
1006,454,40.0,Male 
1007,455,23.0,Female
1008,455,65.0,Female
1009,455,8.0,Male 
1010,455,30.0,Female
1011,455,5.0,Male 
1012,455,0.0,Female
1013,455,30.0,Female
1014,456,45.0,Male 
1015,456,35.0,Female
1016,456,3.0,Female
1017,457,40.0,Male 
1018,457,30.0,Female
1019,458,24.0,Male 
1020,458,18.0,Male 
1021,458,55.0,Female
1022,458,22.0,Male 
1023,460,0.0,Female
1024,460,9.0,Female
1025,460,43.0,Male 
1026,460,28.0,Female
1027,460,16.0,Male 
1028,460,3.0,Male 
1029,461,30.0,Female
1030,461,0.0,Female
1031,461,3.0,Female
1032,461,10.0,Female
1033,461,8.0,Male 
1034,461,40.0,Male 
1035,462,37.0,Male 
1036,462,46.0,Female
1037,463,60.0,Female
1038,463,63.0,Male 
1039,464,28.0,Female
1040,464,33.0,Male 
1041,464,34.0,Male 
1042,464,3.0,Male 
1043,464,20.0,Female
1044,464,18.0,Male 
1045,465,32.0,Female
1046,465,6.0,Female
1047,465,12.0,Male 
1048,465,44.0,Male 
1049,468,19.0,Male 
1050,468,46.0,Female
1051,468,53.0,Male 
1052,469,32.0,Female
1053,469,13.0,Female
1054,469,2.0,Female
1055,470,24.0,Male 
1056,470,25.0,Female
1057,470,9.0,Female
1058,470,0.0,Male 
1059,471,91.0,Male 
1060,471,10.0,Male 
1061,471,16.0,Female
1062,471,87.0,Female
1063,473,23.0,Female
1064,473,65.0,Female
1065,473,8.0,Male 
1066,473,30.0,Female
1067,473,5.0,Male 
1068,473,0.0,Female
1069,473,30.0,Female
1070,474,26.0,Female
1071,474,39.0,Male 
1072,475,48.0,Female
1073,475,10.0,Male 
1074,475,8.0,Male 
1075,475,60.0,Male 
1076,477,36.0,Male 
1077,477,10.0,Female
1078,478,32.0,Female
1079,478,6.0,Female
1080,478,12.0,Male 
1081,478,44.0,Male 
1082,479,68.0,Female
1083,479,68.0,Male 
1084,480,32.0,Female
1085,480,13.0,Female
1086,480,2.0,Female
1087,482,24.0,Female
1088,482,29.0,Female
1089,482,8.0,Female
1090,482,10.0,Male 
1091,482,41.0,Male 
1092,482,0.0,Male 
1093,483,0.0,Female
1094,483,9.0,Female
1095,483,43.0,Male 
1096,483,28.0,Female
1097,483,16.0,Male 
1098,483,3.0,Male 
1099,484,91.0,Male 
1100,484,10.0,Male 
1101,484,16.0,Female
1102,484,87.0,Female
1103,486,45.0,Male 
1104,486,35.0,Female
1105,486,3.0,Female
1106,487,36.0,Male 
1107,487,10.0,Female
1108,490,7.0,Male 
1109,490,71.0,Male 
1110,492,24.0,Male 
1111,492,18.0,Male 
1112,492,55.0,Female
1113,492,22.0,Male 
1114,495,20.0,Male 
1115,495,28.0,Female
1116,496,23.0,Female
1117,496,65.0,Female
1118,496,8.0,Male 
1119,496,30.0,Female
1120,496,5.0,Male 
1121,496,0.0,Female
1122,496,30.0,Female
1123,497,40.0,Male 
1124,497,30.0,Female
1125,498,33.0,Female
1126,498,6.0,Male 
1127,498,35.0,Male 
1128,502,37.0,Male 
1129,502,46.0,Female
1130,503,82.0,Male 
1131,503,12.0,Female
1132,503,43.0,Female
1133,504,0.0,Female
1134,504,9.0,Female
1135,504,43.0,Male 
1136,504,28.0,Female
1137,504,16.0,Male 
1138,504,3.0,Male 
1139,509,60.0,Female
1140,509,63.0,Male 
1141,510,32.0,Female
1142,510,6.0,Female
1143,510,12.0,Male 
1144,510,44.0,Male 
1145,511,82.0,Male 
1146,511,12.0,Female
1147,511,43.0,Female
1148,512,23.0,Female
1149,512,40.0,Male 
1150,513,50.0,Female
1151,513,6.0,Male 
1152,513,11.0,Male 
1153,515,46.0,Female
1154,515,12.0,Male 
1155,515,23.0,Female
1156,515,52.0,Male 
1157,516,60.0,Female
1158,516,63.0,Male 
1159,518,18.0,Female
1160,518,11.0,Female
1161,518,10.0,Female
1162,518,11.0,Male 
1163,518,45.0,Male 
1164,518,35.0,Female
1165,518,6.0,Male 
1166,519,39.0,Female
1167,519,7.0,Female
1168,519,3.0,Male 
1169,519,3.0,Male 
1170,519,47.0,Male 
1171,522,20.0,Female
1172,522,4.0,Female
1173,522,42.0,Female
1174,522,5.0,Male 
1175,523,91.0,Male 
1176,523,10.0,Male 
1177,523,16.0,Female
1178,523,87.0,Female
1179,525,69.0,Female
1180,525,19.0,Male 
1181,525,30.0,Male 
1182,528,23.0,Female
1183,528,65.0,Female
1184,528,8.0,Male 
1185,528,30.0,Female
1186,528,5.0,Male 
1187,528,0.0,Female
1188,528,30.0,Female
1189,529,18.0,Female
1190,529,11.0,Female
1191,529,10.0,Female
1192,529,11.0,Male 
1193,529,45.0,Male 
1194,529,35.0,Female
1195,529,6.0,Male 
1196,532,64.0,Female
1197,532,74.0,Male 
